

[4]:22 6 27 周一 10:10:04
XRPUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:220	正确率:62.273%	交易期望:0.101%
18441 num:6822 	3-e涨幅:-0.015% e涨率:44.603% 	True:-0.168%
18469 num:117 	1-e涨幅:0.168% e涨率:70.506% 	True:0.257%
18469 num:117 	2-e涨幅:0.249% e涨率:70.36% 	True:0.171%
18469 num:117 	3-e涨幅:0.129% e涨率:62.362% 	True:0.129%
18470 num:128 	1-e涨幅:-0.048% e涨率:44.461% 	True:-0.085%
18473 num:6157 	1-e涨幅:0.016% e涨率:55.121% 	True:0.129%
18473 num:6157 	2-e涨幅:0.03% e涨率:58.919% 	True:0.642%
18473 num:6157 	3-e涨幅:0.042% e涨率:59.783% 	True:0.472%
18474 num:9359 	2-e涨幅:0.015% e涨率:56.595% 	True:0.343%
18474 num:9359 	3-e涨幅:0.025% e涨率:58.148% 	True:0.045%
18477 num:10156 	2-e涨幅:0.015% e涨率:56.06% 	True:0.47%
18477 num:10156 	3-e涨幅:0.017% e涨率:57.041% 	True:0.385%

   at Binance.Common.Tests.MyTest.AnalyseCurveMatch2(String symbol) in E:\projects\binance-connector-dotnet\Tests\Spot.Tests\MyTest.cs:line 668


[5]:22 6 27 周一 10:10:06
BTCUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:143	正确率:55.245%	交易期望:0.012%

18022 num:32948 	3-e涨幅:0.012% e涨率:55.345% 	True:0.065%
18029 num:9452 	1-e涨幅:0.02% e涨率:55.067% 	True:0.059%
18029 num:9452 	2-e涨幅:0.027% e涨率:57.796% 	True:0.183%
18029 num:9452 	3-e涨幅:0.027% e涨率:57.403% 	False:-0.138%
18030 num:19985 	3-e涨幅:0.014% e涨率:55.766% 	False:-0.161%
18032 num:22761 	2-e涨幅:0.011% e涨率:55.403% 	True:0.146%
18032 num:22761 	3-e涨幅:0.014% e涨率:56.334% 	True:0.152%
18082 num:17650 	2-e涨幅:0.023% e涨率:56.719% 	True:0.068%
18082 num:17650 	3-e涨幅:0.025% e涨率:56.695% 	True:0.052%
18086 num:33979 	3-e涨幅:0.012% e涨率:55.284% 	True:0.181%
18095 num:18157 	2-e涨幅:0.018% e涨率:56.317% 	False:-0.136%
18095 num:18157 	3-e涨幅:0.02% e涨率:56.424% 	False:-0.353%
18096 num:18797 	2-e涨幅:0.012% e涨率:55.489% 	False:-0.309%
18096 num:18797 	3-e涨幅:0.017% e涨率:56.036% 	False:-0.353%
18097 num:19155 	2-e涨幅:0.011% e涨率:55.639% 	False:-0.261%
18097 num:19155 	3-e涨幅:0.018% e涨率:56.444% 	False:-0.314%
18098 num:19127 	2-e涨幅:0.017% e涨率:56.345% 	False:-0.096%
18098 num:19127 	3-e涨幅:0.021% e涨率:57.188% 	False:-0.046%
18099 num:21008 	2-e涨幅:0.014% e涨率:55.817% 	False:-0.002%
18099 num:21008 	3-e涨幅:0.018% e涨率:56.775% 	True:0.175%
18100 num:21398 	2-e涨幅:0.011% e涨率:55.366% 	True:0.228%
18100 num:21398 	3-e涨幅:0.015% e涨率:56.447% 	True:0.395%
18105 num:20098 	2-e涨幅:0.015% e涨率:55.888% 	True:0.066%
18105 num:20098 	3-e涨幅:0.02% e涨率:56.579% 	False:-0.011%
18109 num:7616 	1-e涨幅:0.019% e涨率:55.926% 	False:-0.228%
18109 num:7616 	2-e涨幅:0.028% e涨率:58.403% 	False:-0.383%
